Source,Target
NFKB1,COL1A2
HIF1A,EPO
MYC,CDC25A
NFKB1,NQO1
JUN,MMP1
JUNB,MMP1
POU1F1,GHRHR
ARNT,EPO
TP73,MDM2
TP73,TP53
MYC,EMP1
NFATC2,TAT
TP73,CDKN1A
RUNX1,BCL2
POU1F1,TRHR
NFKB1,PTGS2
JUN,MAP2K1
JUNB,MAP2K1
GATA4,MYH7
GATA4,SLC8A1
NFKB1,TGFB1
TBP,CREBBP
JUN,CLU
JUNB,CLU
RUNX2,RUNX2
JUN,GCLC
JUNB,GCLC
GABPA,OXTR
JUN,OXTR
JUNB,OXTR
NFKB1,CCNG1
HSF2,HSP90B2P
JUN,IL5
JUNB,IL5
JUN,TNF
JUNB,TNF
JUN,IL1B
JUNB,IL1B
NFKB1,IL1B
HR,IGFBP1
JUN,ERCC1
JUNB,ERCC1
MYC,CXCR4
CUX1,NOS2
CUX1,PI3
GATA4,ADORA1
GATA4,ACOT11
GATA4,AR
POU1F1,FOS
POU1F1,SSTR5
ZNF143,STUB1
MYC,CDKN1A
JUN,IL2
JUN,FN1
JUNB,FN1
JUN,ATF2
JUN,TNFRSF11A
NFKB1,HSF1
PPARA,UCP3
NFKB1,JAG1
NFKB1,SDC4
JUN,NOTO
JUNB,NOTO
NFKB1,NOTO
NOTO,BTK
ID2,HBG1
JUN,CSF2
NFATC2,CSF2
MEF2A,JUN
GATA6,NPPA
SP140,IFNG
RUNX2,MMP13
JUN,DLD
JUNB,DLD
CRX,SAG
TBP,DHFR
JDP2,POLI
JUN,THBS1
ELF2,TEK
JUNB,TP53
MYC,TP53
NFKB1,TP53
CRX,GRB10
JUN,GSC
JUN,GHRHR
JUNB,GHRHR
JUN,ALB
JUNB,ALB
JUN,EPO
JUNB,EPO
JUN,HBB
JUNB,HBB
JUN,KRT18
JUNB,KRT18
HR,NCAM1
GATA4,FGF3
IRF8,IRF8
IRF8,SAMHD1
NFKB1,AKT1
POU2F1,IL5
NFYA,NFYA
SREBF1,APOA2
GATA4,STAR
JUN,MMP9
JUNB,MMP9
NFKB1,MMP9
TCF3,EMC7
CEBPG,HP
JUN,BTG1
JUNB,BTG1
NEUROD1,NEUROD1
JUN,ABCB1
JUNB,ABCB1
JUN,INS
JUNB,INS
E4F1,PVR
NR3C1,BCL2
JUN,IGFBP1
MYC,ACTB
MYC,BRCA1
ZNF362,NODAL
PPARA,VCAM1
MYC,BIN1
MYC,ODC1
MYC,PTMA
MYC,NDRG1
NRG1,PXN
NFKB1,TRAF1
TBP,ACHE
JUN,MAPK3
JUNB,MAPK3
POU1F1,GH1
ID2,ID3
JUN,CRYAA
JUNB,CRYAA
SREBF1,CETP
NFKB1,NOS3
HMGA1,LY6E
POU2F1,LY6E
POU1F1,PRDX6
SREBF2,KPNB1
JUN,EGR1
JUNB,EGR1
NFKB1,EGR1
SREBF1,SCD5
DLX4,GATA1
NFKB1,PTAFR
FOSL1,CLU
JUN,SFTPB
TBP,INS
SREBF1,PPARG
PPARG,SREBF1
PPARG,SREBF2
SREBF2,PPARG
CEBPG,HPN
JUN,SPI1
JUN,SNCG
JUNB,SNCG
HIF1A,VEGFA
NFKB1,CALCA
NR3C1,CSN2
TBP,SNAP25
DLX4,THEG
ZBTB12,THEG
DLX4,FN1
MYC,FN1
ZBTB12,FN1
PPARG,FABP4
JUN,ICAM1
JUNB,ICAM1
NFKB1,BCL2L1
PPARG,CD36
JUN,DAB1
JUNB,DAB1
TP73,AQP1
TP73,CREBBP
TP73,GADD45A
POU2F1,CXCL8
POU2F1,HLA-DRA
JUN,MGAT5
NFYA,CDK1
CEBPG,CD14
CEBPG,MBP
JUN,APEX1
JUNB,APEX1
JUN,HBEGF
JUNB,HBEGF
HIF1A,TFRC
MYC,HSPA4
NFKB1,IL2
IRF4,IL1B
IRF8,IL1B
NFKB1,NFKBIA
RUNX1,BLK
SREBF2,LDLR
MGA,MGA
NFKB1,PLAU
MYC,MYC
NFKB1,CCL2
TP73,MDM4
ARNT,CTSD
CEBPG,PCK1
CEBPG,STAR
NRG1,EGF
NRG1,PIK3R1
PPARA,EDN1
GATA4,ANKRD1
NFATC2,XCL1
CEBPG,CETP
NFKB1,TKT
NFKB1,MAP2K1
BCL6,IL4
BCL6,STAT6
BCL6,IGHE
NFKB1,SOD2
NFKB1,CADM1
TFE3,SLC34A1
JUN,EDNRA
JUNB,EDNRA
JUN,PRKCG
JUNB,PRKCG
TCF3,PREB
TCF3,WNT16
MYC,ACHE
MYC,KAT2B
NFKB1,KNG1
JUN,SP4
JUNB,SP4
CEBPG,MMP2
JUNB,CDKN1A
JUN,PDGFB
MYC,CCND2
MYC,MAX
MYC,MXD1
ZEB1,CD4
CEBPG,S100A8
NAB2,EGR1
NFKB1,MET
JUN,CRH
JUNB,CRH
NR3C1,CRH
NR3C1,SERPINE1
JUN,FOS
JUNB,FOS
JUN,MCF2
MEF2C,JUN
MYC,CDH1
POU4F2,PAX6
POU4F2,EPO
PPARA,UCP1
PPARG,UCP1
MEF2A,NR4A1
MEF2A,CABIN1
CEBPG,FOS
RUNX1,CR1
CEBPG,RNASE2
SREBF1,GCK
NFKB1,ADRA1D
PPARA,IL6
CEBPG,ALB
CUX1,TRAF6
CUX1,NGFR
CUX1,PTPN13
NFKB1,NGFR
CUX1,TGFBR2
MYOG,MYF5
MYOG,MEF2A
MEF2A,MYOG
MYOG,MYOD1
MYC,AR
SREBF1,CYP51A1
FOXK1,SCN5A
SREBF1,RPS14
NFKB1,F2
CEBPG,OSM
SMAD3,SMAD7
FOSL1,ELN
JUN,ELN
JUN,FGF2
TP73,BAX
POU3F1,CHRNA3
HIF1A,CDKN1A
JUN,CPS1
JUNB,CPS1
NR3C1,CPS1
NFKB1,IFNB1
NKRF,IFNB1
ATF6,HSPA5
JUNB,CCND1
MYC,CAD
TCF3,INS
HR,XRCC1
JUN,NR4A1
JUNB,NR4A1
JUN,UBE2B
IRF8,NCF2
IRF8,CREBBP
TP73,SP1
TP73,TP73
JUN,CD3E
JUNB,CD3E
JUN,FAS
JUNB,FAS
SREBF1,SCARB1
NFKB1,CREB1
HR,VEGFA
SREBF1,FASN
ID2,FAS
NFKB1,CCL11
CEBPG,TFAP2A
HIF1A,SERPINE1
HIF1A,TCIRG1
IRF8,IFNA1
JUN,SERPINE1
JUNB,SERPINE1
JUN,APOB
JUNB,APOB
HOXB2,HBG1
SATB1,HBG1
RUNX1,ETV6
POU4F2,BRCA1
CEBPG,ADIPOQ
JUN,HMOX1
JUNB,HMOX1
MYC,HMOX1
SMAD3,CDKN1A
CEBPG,MMP11
PROX1,EYA1
PROX1,EYA2
KLF3,C4A
CUX1,BGLAP
MYC,NCL
NFKB1,CSF2
NFKB1,HCRT
JUN,EGF
JUN,MICU1
GABPA,TNC
BCL6,BCL6
NFKB1,IRF1
NFKB1,STAT5B
NFKB1,CRHR1
CEBPG,UCN
NFKB1,UCN
JUN,CFI
JUNB,CFI
NFKB1,CFI
NFKB1,PRKCG
NR3C1,PTGS2
PPARA,LPL
TFE3,SERPINE1
NEUROD1,INS
NFKB1,PECAM1
JUN,CCL2
JUNB,CCL2
JUN,CXCL14
JUNB,CXCL14
NFKB1,CXCL14
JUN,NGF
JUNB,NGF
NFKB1,NGF
NFKB1,FN1
MEF2A,CLCA1
MEF2A,MSTN
POU1F1,TBATA
POU1F1,TSHB
FOXA2,PDX1
ZEB1,COL2A1
JUN,PRL
JUN,CD44
JUN,SLA
JUNB,SLA
TBP,VCP
NRG1,SELE
JUN,PTGS2
PATZ1,MYC
NFKB1,FAS
PPARG,IL2
CEBPG,LDLR
MYC,KRAS
TBP,IGFBP7
TBP,MMP3
ZHX2,AFP
FOXA2,FOXA2
FOXA2,HNF4A
ONECUT1,FOXA2
FOXA2,ONECUT1
ONECUT1,HNF4A
TBP,DR1
TBP,POLR2F
NFKB1,NR1H2
CEBPG,CSF3
CEBPG,PRTN3
GATA4,AMH
RXRA,BGLAP
HIF1A,NOS2
SREBF1,CAV1
GATA6,TFF1
GATA6,TFF2
GATA6,TFF3
ZNF292,GH1
JUN,PLAU
JUNB,PLAU
ZBTB16,RUNX1T1
SMAD6,SMAD1
SMAD6,SMAD6
CEBPG,PTGS2
JUN,DDIT3
JUNB,DDIT3
JUNB,IL2
JUN,CDKN1B
ARNT,VEGFA
MYC,IL2
HMGA1,IL2
JUN,TGFB1
JUNB,TGFB1
SMAD3,TGFB1
PATZ1,RNF4
ZNF362,HTR1A
ZNF143,HMOX1
JUN,TCEA1
JUNB,TCEA1
NFKB1,MAP3K11
JUN,HGF
JUNB,HGF
JUN,TM9SF2
JUNB,TM9SF2
NFKB1,TM9SF2
NFKB1,VAV1
NR3C1,CYP19A1
JUN,PRKCQ
JUNB,PRKCQ
RUNX1,RUNX1
POU2F1,HBG1
NFKB1,LTA
NFKB1,EIF2AK2
NFKB1,SLC1A2
NFKB1,SLC1A3
NFKB1,HMOX1
MYC,FASLG
JUN,PRKCA
JUNB,PRKCA
NFKB1,IL15
JUN,FASLG
JUNB,FASLG
PPARA,CYP7A1
CEBPG,SCGB1A1
NFKB1,HACD3
MAF,TP53
AIRE,CREBBP
FOXA2,SLC2A2
PPARG,CYP19A1
JUN,LAMC2
JUNB,LAMC2
JUN,BIRC3
JUNB,BIRC3
JUN,FGFBP1
JUNB,FGFBP1
NFKB1,CXCL10
JUN,COPS5
JUNB,COPS5
FOXA2,HHEX
GATA4,HHEX
NRG1,ERBB3
NRG1,ERBB2
ZNF362,REG1A
JUNB,PRL
TBX2,MITF
TBX2,TBX2
NR3C1,CYP3A4
GABPA,BRCA1
PPARA,APOA2
JUN,AKR1B15
JUNB,AKR1B15
TP73,MRPL41
HIF1A,CP
PPARA,ACSL1
NOTO,CD74
NOTO,TOP2B
RFX5,HLA-E
JUN,BCL3
JUNB,BCL3
JUN,IL4
JUNB,IL4
TCF3,IGLL1
POU2F1,UGT2B7
JUN,MMP13
NEUROD1,MAPKAPK2
CRX,FSCN2
JUN,LHB
PPARA,PKLR
GATA4,EDN1
HR,CCL7
SMAD3,COL1A2
IRF3,CCL5
SREBF1,ACLY
SREBF2,ACLY
RUNX2,CEBPD
JUN,EGFR
JUNB,EGFR
ONECUT1,GH1
NEUROD1,SCT
JUN,MMP12
JUNB,MMP12
NFKB1,XIAP
JUNB,PTGS2
JUN,FLG
JUNB,FLG
NR3C1,FCGR1A
TLX1,WT1
MEF2A,CALM1
HIVEP1,COL2A1
ONECUT1,NEUROG3
SMAD2,PDGFB
SMAD3,PDGFB
NFKB1,NCAM1
NFKB1,AGER
JUNB,MMP13
NFKB1,STAT5A
NFKB1,CSN2
ID2,CAV3
MYOG,CAV3
MYOG,ID2
MYOG,TP53BP1
NFKB1,TP53BP1
MYC,TP53BP1
MYC,JUP
NFKB1,SMAD7
JUN,ACTB
CEBPG,IL1B
JUN,TH
JUNB,TH
JUN,SMAD7
JUNB,SMAD7
CEBPG,LTF
SFPQ,SP1
HIF1A,ADM
PPARG,NOS2
IRF3,IFNB1
JUN,IFNB1
NFKB1,CSNK2A1
HIF1A,TH
RUNX1,CDK4
RUNX1,CDKN2A
GATA6,MYH11
JUN,NPY
JUNB,NPY
JUNB,CDKN2A
HR,MDM2
MYC,SURF1
PPARA,CYP4F2
IRF8,IL12B
NFKB1,SERPINB1
MYOG,MYOG
PPARG,CEBPA
CEBPG,PPARG
PPARA,CPT1B
NFKB1,KDR
NOTO,ALG3
NOTO,CCR4
TBP,TBP
ATF6,TG
POU3F1,SSTR1
CUX1,IFNG
CUX1,PIK3C3
E4F1,CTNND1
E4F1,E4F1
MYC,THBS1
MZF1,TERT
MYC,FGFBP1
NFKB1,JUNB
CEBPG,CRP
RUNX1,ITGAL
JUN,VCAM1
JUNB,VCAM1
JUN,VEGFA
JUNB,VEGFA
ID2,CCNA2
FOSL1,MMP13
ZNF143,TCP1
ZNF76,TCP1
NFATC2,IFNA1
CUX1,NGF
CUX1,NTRK1
JUN,GRB2
JUNB,GRB2
JUN,BTK
JUNB,BTK
JUN,CD40LG
JUNB,CD40LG
NFKB1,CD40LG
MYC,MYBL1
NFKB1,PCK1
NFKB1,RELA
TBP,CLC
MYC,GADD45A
NFYB,CIITA
RFX5,CIITA
ELF2,MMP1
FOSL1,MMP1
MYC,CDKN2A
JUN,SPRR1B
JUNB,SPRR1B
SREBF1,SREBF1
FOSL1,CCL2
TP73,VEGFA
JUN,SERPINF2
JUNB,SERPINF2
HIF1A,BNIP3
PPARG,TBXAS1
MYC,NFKBIA
HR,SLA
HR,SLC26A3
HR,TNF
MEF2A,MEF2A
NR3C1,RELA
NFKB1,NR3C1
JUN,CGB8
CEBPG,NFKB1
JUN,IL24
JUNB,IL24
CEBPG,IL24
JUN,MGMT
JUNB,MGMT
ZEB1,CDH1
NFATC2,TNF
NFKB1,BRCA2
PPARA,SELE
NFKB1,EDN1
MYC,CUL1
MYC,CDKN1B
NFKB1,TERT
BCL6,CCL2
JUN,ALOX12
TFE3,SMAD7
MEF2A,BPIFA4P
MEF2A,AKT1
MEF2A,PIK3R1
FOXA2,EOMES
JUN,TGM1
JUNB,TGM1
JUN,IL18
JUNB,IL18
JUN,IFNG
JUNB,IFNG
IRF8,IL18
NR3C1,MYC
JUN,ATF3
POU1F1,IBSP
POU1F1,PTH
CEBPG,CDKN1A
NFKB1,UBE2B
TBX15,TERT
TBP,ELANE
CEBPG,ALDH2
TCF20,MMP3
MEF2B,AXL
MEF2B,RHD
SMAD3,APOC3
POU2F1,HPGDS
MEF2C,MYH7
TEAD1,MYH7
JUN,TRADD
JUNB,TRADD
NFKB1,TRADD
JUN,RGN
JUNB,RGN
JUN,TP53BP1
JUNB,TP53BP1
HMGA1,RHO
CRX,RHO
HIF1A,PSMC6
HIF1A,TP53
PPARG,VCAM1
CEBPG,IL4
PPARA,TNF
PPARG,TNF
CEBPG,GADD45A
NFYA,NPR1
NFKB1,CCK
NFKB1,TFAP2A
NFKB1,MMP13
AIRE,FOS
RXRA,HNF4A
CEBPG,SLC10A1
PPARG,CDKN1B
NFKB1,CRP
JUN,NQO1
JUNB,NQO1
NFE2L2,NQO1
NFKB1,ELF3
NR3C1,NR3C1
NFKB1,IGKV2D-24
ZIC1,APOE
SMAD3,SPP1
MAF,SPARC
MAFA,SPARC
JUN,BMP4
JUNB,BMP4
JUN,F3
JUNB,F3
JUN,TF
JUNB,TF
NR1D1,AFP
NFKB1,KISS1
TBX2,CDKN2A
NFKB1,NFKB1
JUN,HERPUD1
JUNB,HERPUD1
NKRF,CXCL8
NFKB1,GDNF
TCF3,CDKN1A
NFKB1,CDKN1A
ZNF362,MDM2
TBP,ERCC3
SREBF1,LPL
NR3C1,CYP2B6
JUN,NTS
JUNB,NTS
HEY2,HEY2
ARNT,ABCB1
JUN,EDN1
JUNB,EDN1
CEBPG,EDN1
NFKB1,IGF2
JUN,PCSK1
JUN,TEC
MYC,BAX
JUN,SLC25A6
JUNB,SLC25A6
NRG1,PIK3C3
JUN,AGTRAP
JUNB,AGTRAP
JUN,AGTR1
JUNB,AGTR1
SREBF2,FDFT1
JUN,ABCC8
JUNB,ABCC8
HMGA1,CXCL1
NFKB1,CXCL1
NFKB1,CFTR
JUN,GSK3B
JUNB,GSK3B
JUN,ILK
JUNB,ILK
NFKB1,MYC
JUN,CXCL1
JUNB,CXCL1
NFE2L2,GCLC
HIF1A,SLC2A1
BCL6,STAT3
HMGA1,SPI1
JUN,PPARG
JUNB,PPARG
POU2F1,NOS2
HOXB7,MYH10
SREBF1,STAR
CEBPG,AKR1B15
CEBPG,NF1
PPARG,UCP2
ZNF362,CIITA
GATA4,NFYA
HMGA1,INSR
JUN,TPSD1
JUNB,TPSD1
ELF2,TIE1
NFKB1,TLR2
NFKB1,TCIRG1
MEF2C,MAPK7
NFYB,CD74
TWIST1,COL1A2
ZNF395,TP53
PPARA,CPT1A
PPARA,PTAFR
POU4F2,POU4F1
TP73,TNFRSF11A
TP73,PPIA
NR3C1,POMC
NR3C1,AR
JUN,AKT1
JUN,CDC42
HR,TP53
JUN,EPHB2
JUNB,EPHB2
PPARA,F3
NFKB1,BAX
JUN,BAX
JUNB,BAX
JUN,SLC7A11
JUNB,SLC7A11
KLF2,GPS2
PHF20,GPS2
POU2F1,GADD45A
MAF,MAF
JUN,MBP
JUNB,MBP
CEBPG,APOE
JUN,APOC3
NFKB1,APOC3
TP73,AQP3
NFKB1,GCLC
FOSL1,PLAUR
JUN,PLAUR
HR,NDRG1
TCF3,NDRG1
ARNT,AHR
ARNT,ARNT
NFKB1,WT1
FOXA2,APOB
JUN,MC2R
JUNB,MC2R
TBP,CYP27A1
JDP2,IGFBP7
NFKB1,FMNL2
NFKB1,IL9
NFE2L2,PMF1
NFE2L2,SAT1
MYC,CAV1
HMGA1,LEP
SMAD2,MMP2
MYC,CD4
NFKB1,ESR1
NR3C1,SCNN1A
HR,CCNE1
HR,RB1
FOXA2,AGXT
JUN,IL10
JUNB,IL10
NFE2L2,HMOX1
MEF2C,SLC2A4
NFKB1,CD83
NR3C1,HTR1A
SMAD2,ACAN
PPARG,PTGS2
HSF2,SUMO1
JUN,BCL2L1
POU2F1,CDX2
NFKB1,SAA1
IRF3,FGFR1
JUN,PTPN6
NFKB1,FUS
HIF1A,EDN1
GATA4,NPPB
JUN,IL12B
SMAD3,AR
JUNB,FGF2
E4F1,APRT
E4F1,CCNA2
MYC,CDKN2B
RUNX1,CEBPA
PPARA,FABP1
JDP2,TP53
PPARG,CCND1
PPARG,HGF
TP73,CDH1
TP73,CDKN2A
TP73,CDKN2B
TP73,DAPK1
TP73,GSTP1
TP73,MGMT
TP73,MLH1
TP73,TIMP3
TCF3,CDH1
JUN,EIF4E
JUNB,EIF4E
POU4F2,DDC
NFKB1,CD86
FOXI1,TSC1
MYC,CHKA
JUNB,PLAUR
TFE3,TFE3
TBP,BCL2
FOSL1,SPRR1B
ID2,TF
JUN,IGFBP7
TBP,TAF1
MYC,MBL2
JUN,A2M
NR3C1,JUN
JUN,NR3C1
JUNB,NR3C1
JUN,CYP11A1
HSF2,CRYAB
SMAD3,BGLAP
SMAD3,RUNX2
TFE3,CTSK
JUNB,BCL2L1
NR3C1,PCK1
MYC,CEBPA
ZNF395,PRF1
TWIST1,BGLAP
JUN,CR2
JUNB,CR2
JUN,ERVW-1
JUNB,ERVW-1
JUN,CD244
JUNB,CD244
PHF20,CYP11A1
MYOG,CALM1
HIF1A,HMOX1
NFKB1,CD4
FOXP2,SCGB1A1
FOXP2,SFTPC
JUN,CD80
JUNB,CD80
NFKB1,CD80
HIF1A,ERBB2
HIF1A,HIF1A
HIF1A,PIK3R1
NFKB1,DDIT3
NFKB1,CD99
NFKB1,OSTM1
DLX4,ACHE
DLX4,TFAP2A
DLX4,TNFRSF11A
HR,NOTCH1
NFKB1,MMP1
PPARG,PTEN
TP73,AVP
GATA4,NR2F2
JUN,CA2
JUNB,CA2
SMAD3,CD79A
MEF2A,TG
FOSL1,IL2
PPARA,ICAM1
POU2F1,TNF
TP73,CDC25C
GATA6,TNF
GATA6,VCAM1
NR3C1,LTBR
PPARG,PCK1
TBP,CYC1
NRG1,CD44
PPARG,AGTR1
JUN,IL1A
JUNB,IL1A
CEBPG,TRIM63
MAFA,NQO1
PPARA,ABCD2
HR,IL1B
IRF4,ACP5
IRF4,TNFSF11
NFKB1,ACP5
PPARG,SPP1
NFKB1,TIMP1
ZBTB16,MAT2A
POU3F1,KRT14
JUN,LMNA
JUNB,LMNA
ZEB1,VDR
HOXA7,IVL
NFKB1,ABCC8
JUN,CD28
JUNB,CD28
SREBF1,PCK1
TBX15,COL2A1
SMAD2,FURIN
RUNX2,AMBN
NRG1,HGF
NR3C1,SULT1A1
SMAD2,TGFB1
HIF1A,INS
MAF,GCG
JUN,WNK1
JUNB,WNK1
NR3C1,IL6
PRRX1,TNC
CRX,PRPH2
CEBPG,FAS
SMAD3,PTHLH
NR3C1,ADRB1
KLF2,MYC
NFYA,SP3
TBP,LGALS1
TBP,GAL
TCF3,TLE6
TCF3,PTCRA
NFKB1,IL3
NFKB1,CYP3A7
NFKB1,CYP3A4
FOXA2,CYP3A7
NFKB1,MAP3K14
NFKB1,TNFRSF11A
JUN,WEE1
JUNB,WEE1
SMAD2,MMP1
SMAD3,MMP1
JUN,AR
SOX6,FGF3
NOTO,ENO2
PPARA,ALDH2
NFKB1,EPCAM
JUN,SLC10A2
JUNB,SLC10A2
NFKB1,IL12B
NFKB1,PTPRC
MYC,CCNE1
MYC,EPHB2
MYC,PIK3R1
MYC,EGF
TCF3,CCND3
TCF3,THEG
TCF3,CCND2
MYC,TRRAP
JUN,ABL1
JUNB,ABL1
JUN,NCK2
JUNB,NCK2
JUN,PCNA
JUNB,PCNA
JUN,THEG
JUNB,THEG
NFKB1,MSX1
JUN,CGA
NFKB1,PSMA6
TP73,CCNE1
PPARG,ADIPOQ
NFKB1,TNFSF10
FOXA3,SLC2A2
NEUROD1,HES1
SIX3,PAX6
SIX3,SIX3
JUNB,ELN
FOXA2,GH1
JUN,ESR2
JUNB,ESR2
RUNX1,CREBBP
RUNX1,KAT2B
SMAD3,SELENOP
ID2,ID2
JUN,PC
JUNB,PC
SATB1,CYBB
BCL6,CDKN1A
BCL6,SRSF3
HR,SLC3A2
GATA6,HNF4A
TWIST1,CDKN1A
PPARG,CCN2
SMAD3,CCN2
NFKB1,CXCL11
HIF1A,HMOX2
TP73,CDK1
ATF6,ATP2A2
CEBPG,SFTPD
JUNB,AR
NFKB1,AR
MYC,CDCA7
NFYA,JUNB
NFKB1,IL12A
NFKB1,IL2RB
JUN,GSTP1
JUNB,GSTP1
TP73,JAG1
TP73,JAG2
TP73,EPHA2
CEBPG,BGLAP
SIRT1,TP53
NFKB1,PSG6
NFKB1,U2AF1
CRX,ASMT
JUN,APP
JUN,BDNF
JUNB,BDNF
NR3C1,CYP2C9
HOXB2,PLAT
HOXB2,PLG
JUN,DIDO1
SMAD3,MYC
TBP,C4B
TBP,RASA1
NR3C1,NFKBIA
TBP,SNURF
NFKB1,PTPN13
NFKB1,LTBR
TCF3,TFPT
ESRRG,NR0B2
ID2,CDKN1A
ID2,KRAS
ID2,SGCA
DLX4,HBB
PPARG,GCG
MEF2A,SLC2A4
JUN,HSPA5
JUN,GNLY
JUNB,GNLY
ZNF143,IRF3
PPARA,PCK1
GSX1,GHRH
HOXB7,GHRH
GATA6,SFTPC
GATA4,SFTPC
PPARA,MLYCD
HR,ABL1
TCF3,PCSK6
SMAD3,DAP
JUN,KNG1
JUNB,KNG1
JUN,MITF
JUN,TGFBR2
JUNB,TGFBR2
JUN,INTU
JUNB,INTU
JUN,RHOB
JUNB,RHOB
HIF1A,PFKFB3
CEBPG,IL5
POU3F1,DHH
MAF,CRYBB2
MAF,NPRL3
MAF,BDKRB2
HMGB2,BAX
HMGB2,TP73
HMGB2,CDKN1A
HMGB2,MDM2
NFKB1,CCL20
KLF2,VAV1
PATZ1,TPSB2
NFKB1,RELB
GABPA,UTRN
FOXA2,SHH
NFKB1,DEFB4B
JUN,STXBP1
JUNB,STXBP1
POU2F1,IL2
POU2F1,IL4
NFATC2,NFATC1
DLX3,BMP2
SMAD3,IL5
GABPA,AURKA
PPARA,FADS2
SREBF1,FADS2
PPARA,OLR1
PPARG,OLR1
MYC,INS
MYC,PPBP
SMAD3,LAMC1
TFE3,LAMC1
ARNT,SMARCA4
MEF2A,TWIST2
HIVEP1,IRF1
HIVEP1,TP53
TFE3,ACP5
TFE3,CD40
IRF8,DAB2
IRF8,SPI1
HIF1A,GLB1
MYC,ACTL6A
MAF,CRYGD
JUN,CRYGD
TFAP4,IER3
IRF3,USP18
HIF1A,AFP
MYC,AFP
NFKB1,PUF60
PPARA,HLA-E
PPARG,HLA-E
GATA4,LIPH
PPARA,CD36
PPARG,MMP1
PPARG,GK
RXRA,GK
MXI1,CCNB1
HR,MYOG
HR,PRKCG
SMAD2,SERPINE1
HIF1A,PPARG
RUNX2,TNFSF11
NFKB1,NR4A2
JUN,CD40
JUNB,CD40
POU5F1,SPP1
POU5F1,FOXA1
POU5F1,FOXA2
ZEB1,IL2
FOSL1,FN1
JUN,OPRM1
JUNB,OPRM1
JUN,FTH1
HMGA1,GSTM1
SREBF1,ACACA
JUN,GC
JUNB,GC
MYC,MYCT1
JUN,IGHE
JUNB,IGHE
FOXA2,WNT7B
GATA6,WNT7B
ONECUT1,SLC2A2
PPARA,RBP2
JUN,LPL
JUNB,LPL
BCL6,CCNA2
CUX1,DBH
PPARG,CCL5
JUN,IL1RN
JUNB,IL1RN
HR,ADAMTS7
HR,TIMP1
NR3C1,SLC14A2
ONECUT1,HNF1B
NFE2L2,NFE2L2
MEF2A,AKT2
MYOG,AKT2
MEF2A,MYOD1
PPARA,DDIT3
JUN,MAOB
TP73,NCOA4
IRF4,IL4
MAF,IL4
JUN,AP3B1
JUNB,AP3B1
NR3C1,VLDLR
ELF2,ANGPT1
ELF2,ANGPT2
CUX1,CDKN1B
MAF,IFNG
MAF,IL12RB1
TBP,GTF2B
TBP,PAM
NFKB1,PRKCQ
PPARG,MYC
JUN,MMP11
JUNB,MMP11
NFKB1,F3
NFKB1,RRM2
POU2F1,RRM2
PPARA,VEGFA
PPARA,NFKBIA
NFKB1,MED1
NEUROD1,ABCC8
NEUROD1,DLD
NFKB1,CD69
JUN,CIITA
TP73,E2F1
SMAD2,CCN2
IRF3,CXCL14
IRF3,IFIT1
GATA4,MYH6
CEBPG,CYP2B6
NEUROD1,VPREB1
TCF3,VPREB1
TCF3,CD79A
TCF3,CD79B
PPARG,VEGFA
NFE2L2,COX17
CEBPG,CPB2
POU2F1,CDC6
NKRF,GCLM
PPARG,EGR1
MYC,PRDX3
PPARA,DBI
PPARG,DBI
